group,name,address,city
Santander,"BANCO SANTANDER, S.A.",PASEO DE PEREDA 9,SANTANDER
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",PLAZA DE SAN NICOLAS 4,BILBAO
Iberdrola,"IBERDROLA, S.A.",PLAZA EUSKADI 5,BILBAO
Inditex,"INDUSTRIA DE DISEÑO TEXTIL, S.A.",,
Telefónica,"TELEFÓNICA, S.A.",GRAN VIA 28,MADRID
Repsol,"REPSOL, S.A.",CALLE MENDEZ ALVARO 44,MADRID
CaixaBank,"CAIXABANK, S.A.",CALLE PINTOR SOROLLA 2,VALENCIA
ACS,"ACS, ACTIVIDADES DE CONSTRUCCIÓN Y SERVICIOS, S.A.",AVENIDA DE PIO XII 102,MADRID
Aena,"AENA, S.M.E., S.A.",CALLE PEONIAS 12,MADRID
Endesa,"ENDESA, S.A.",CALLE RIBERA DEL LOIRA 60,MADRID
Naturgy,"NATURGY ENERGY GROUP, S.A.",AVENIDA DE AMERICA 38,MADRID
Redeia,"REDEIA CORPORACIÓN, S.A.",PASEO CONDE DE LOS GAITANES 177,ALCOBENDAS
Mapfre,"MAPFRE, S.A.",CARRETERA DE POZUELO 52,MAJADAHONDA
Banco Sabadell,"BANCO DE SABADELL, S.A.",AVENIDA OSCAR ESPLA 37,ALICANTE
Cellnex,"CELLNEX TELECOM, S.A.",CALLE JUAN ESPLANDIU 11,MADRID
Acciona,"ACCIONA, S.A.",AVENIDA DE EUROPA 18,ALCOBENDAS
Indra,"INDRA SISTEMAS, S.A.",AVENIDA DE BRUSELAS 35,ALCOBENDAS
Enagás,"ENAGÁS, S.A.",PASEO DE LOS OLMOS 19,MADRID
Bankinter,"BANKINTER, S.A.",PASEO DE LA CASTELLANA 29,MADRID
Grifols,"GRIFOLS, S.A.",CALLE JESUS Y MARIA 6,BARCELONA
Sacyr,"SACYR, S.A.",CALLE CONDESA DE VENADITO 7,MADRID
Acerinox,"ACERINOX, S.A.",CALLE SANTIAGO DE COMPOSTELA 100,MADRID
Merlin Properties,"MERLIN PROPERTIES SOCIMI, S.A.",PASEO DE LA CASTELLANA 257,MADRID
Colonial,"INMOBILIARIA COLONIAL, SOCIMI, S.A.",PASEO DE LA CASTELLANA 52,MADRID
Logista,"LOGISTA INTEGRAL, S.A.",CALLE TRIGO 39,LEGANES
Fluidra,"FLUIDRA, S.A.",AVENIDA ALCALDE BARNILS 69,SANT CUGAT DEL VALLES
Solaria,"SOLARIA ENERGÍA Y MEDIO AMBIENTE, S.A.",CALLE PRINCESA 2,MADRID
Unicaja,"UNICAJA BANCO, S.A.",AVENIDA DE ANDALUCIA 10,MALAGA
Rovi,"LABORATORIOS FARMACÉUTICOS ROVI, S.A.",CALLE JULIAN CAMARILLO 35,MADRID
Amadeus,"AMADEUS IT GROUP, S.A.",CALLE SALVADOR DE MADARIAGA 1,MADRID
Puig,"PUIG BRANDS, S.A.",PLAZA EUROPA 46,L'HOSPITALET DE LLOBREGAT
IAG,"INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.",,
